Text,Image Path,Scheduled Date,Campaign Tag
"Your sports knowledge has real value.

SportsBlock converts it into MEDALS.

sportsblock.app

#SportsBlock #EarnCrypto #HIVE #SportsBetting",marketing/assets/Social Post — Void — _Earn_.png,03/25/2026 09:00,Earn Rewards
"What if every sports post you wrote actually earned you something?

On SportsBlock, it does. Write analysis, share predictions, earn MEDALS — real crypto rewards for genuine sports knowledge.

sportsblock.app

#SportsBlock #HIVE #SportsBetting",marketing/assets/Social Post — Void — _Earn_.png,03/25/2026 13:00,Earn Rewards
"The world's best sports minds are giving away their insights for free.

SportsBlock changes that equation. Every post you write, every prediction you nail, every match thread contribution — it all earns MEDALS. Real cryptocurrency you can trade, stake, or hold.

Premium sports knowledge deserves premium rewards.

sportsblock.app",marketing/assets/Social Post — Void — _Earn_.png,03/25/2026 18:00,Earn Rewards
"They profit from your takes. You get nothing.

Flip the script. Earn MEDALS on SportsBlock.

sportsblock.app

#SportsBlock #CryptoRewards #MEDALS #PlayToEarn",marketing/assets/Social Post — Stadium — _Earn_.png,03/26/2026 09:00,Earn Rewards
"Platforms got rich off your sports content.

SportsBlock pays you back. Every post earns MEDALS. Every correct prediction multiplies them. No middleman skimming your value.

sportsblock.app

#SportsBlock #PlayToEarn #EarnCrypto",marketing/assets/Social Post — Stadium — _Earn_.png,03/26/2026 13:00,Earn Rewards
"Other platforms sell your data, suppress your reach, and give you zero in return.

SportsBlock does the opposite. Post your takes — earn MEDALS. Nail a prediction — earn more. Build a following — earn even more.

Your content, your rewards. No one takes a cut.

sportsblock.app",marketing/assets/Social Post — Stadium — _Earn_.png,03/26/2026 18:00,Earn Rewards
"Already obsessed with sport? Might as well get paid for it.

Join SportsBlock.

sportsblock.app

#SportsBlock #SportsBetting #PredictionMarkets #Web3Sports",marketing/assets/Social Post — Teal Accent — _Earn_.png,03/27/2026 09:00,Earn Rewards
"Your mates already think you're a genius at picking winners.

Time to prove it on SportsBlock and earn MEDALS while you're at it. Free to join, free to post, free to earn.

sportsblock.app

#SportsBlock #Web3Sports #CryptoRewards",marketing/assets/Social Post — Teal Accent — _Earn_.png,03/27/2026 13:00,Earn Rewards
"You already spend hours talking sport with your mates, reading match previews, debating lineups.

What if that time actually earned you something?

SportsBlock rewards every post, every prediction, every match thread moment with MEDALS. Real crypto, zero fees.

Just you doing what you love — and finally getting rewarded.

sportsblock.app",marketing/assets/Social Post — Teal Accent — _Earn_.png,03/27/2026 18:00,Earn Rewards
"Hot take + right call = real crypto.

That's SportsBlock. Start earning now.

sportsblock.app

#SportsBlock #EarnCrypto #HIVE #SportsBetting",marketing/assets/Social Post — Gold Prestige — _Earn_.png,03/28/2026 09:00,Earn Rewards
"Every post. Every prediction. Every match day take.

All earning you MEDALS on SportsBlock. Zero fees, real crypto rewards. The question is — why are you still posting for free?

sportsblock.app

#SportsBlock #HIVE #SportsBetting",marketing/assets/Social Post — Gold Prestige — _Earn_.png,03/28/2026 13:00,Earn Rewards
"Right now, someone is making money off your sports takes.

It's not you.

SportsBlock changes everything. Post your analysis — earn MEDALS. Call the upset — earn more. Build your reputation — earn even more. Real crypto. Zero fees. No catch.

Stop giving it away for free.

sportsblock.app",marketing/assets/Social Post — Gold Prestige — _Earn_.png,03/28/2026 18:00,Earn Rewards
"Predict. Earn. Repeat.

SportsBlock rewards precision with MEDALS.

sportsblock.app

#SportsBlock #CryptoRewards #MEDALS #PlayToEarn",marketing/assets/Prediction Card — Void — _Earn_.png,03/29/2026 09:00,Earn Rewards
"Stake MEDALS on your prediction. Get the call right, and your rewards compound.

SportsBlock turns sports intelligence into tangible returns. Precision pays.

sportsblock.app

#SportsBlock #PlayToEarn #EarnCrypto",marketing/assets/Prediction Card — Void — _Earn_.png,03/29/2026 13:00,Earn Rewards
"The best analysts don't just talk — they back their calls.

On SportsBlock, every correct prediction earns you MEDALS. Stake on outcomes you believe in. Build a track record that speaks for itself.

No bookmaker margins. No house edge. Just rewards for getting it right.

sportsblock.app",marketing/assets/Prediction Card — Void — _Earn_.png,03/29/2026 18:00,Earn Rewards
"Correct call. Real crypto. No middleman.

SportsBlock Prediction Bites.

sportsblock.app

#SportsBlock #SportsBetting #PredictionMarkets #Web3Sports",marketing/assets/Prediction Card — Stadium — _Earn_.png,03/30/2026 09:00,Earn Rewards
"Imagine getting paid every time you called the result before kickoff.

SportsBlock makes it real. Stake MEDALS on your prediction. Nail it, and the pool pays you. Simple.

sportsblock.app

#SportsBlock #Web3Sports #CryptoRewards",marketing/assets/Prediction Card — Stadium — _Earn_.png,03/30/2026 13:00,Earn Rewards
